id,title,date,time,location,enroll_url,course_slug
9100,nan,,2020-06-22 11:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3883963,
9110,nan,,2020-06-22 11:30:00,Smokey Tony's,https://coastalcprtraining.enrollware.com/enroll?id=3883964,
8330,nan,,2020-06-22 17:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3881460,
7460,nan,,2020-06-23 09:00:00,809,https://coastalcprtraining.enrollware.com/enroll?id=3881355,
6320,nan,,2020-06-23 10:00:00,809,https://coastalcprtraining.enrollware.com/enroll?id=3765482,
6480,nan,,2020-06-23 11:00:00,809,https://coastalcprtraining.enrollware.com/enroll?id=3765498,
10090,nan,,2020-06-24 08:00:00,B on the B,https://coastalcprtraining.enrollware.com/enroll?id=3899251,
10080,nan,,2020-06-24 09:00:00,B on the B,https://coastalcprtraining.enrollware.com/enroll?id=3899248,
5560,nan,,2020-06-24 09:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3765406,
5800,nan,,2020-06-24 09:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3765430,
10100,nan,,2020-06-24 11:00:00,B on the B,https://coastalcprtraining.enrollware.com/enroll?id=3899253,
6140,nan,,2020-06-24 11:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3765464,
6610,nan,,2020-06-24 17:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3765511,
6340,nan,,2020-06-25 09:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3765484,
7470,nan,,2020-06-25 09:00:00,809,https://coastalcprtraining.enrollware.com/enroll?id=3881356,
6150,nan,,2020-06-25 10:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3765465,
6500,nan,,2020-06-25 11:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3765500,
9180,nan,,2020-06-25 11:00:00,809,https://coastalcprtraining.enrollware.com/enroll?id=3883985,
9170,nan,,2020-06-25 12:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3883983,
8620,nan,,2020-06-26 09:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3881491,
8180,nan,,2020-06-26 09:00:00,809,https://coastalcprtraining.enrollware.com/enroll?id=3881430,
6640,nan,,2020-06-26 09:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3765514,
9190,nan,,2020-06-26 11:00:00,809,https://coastalcprtraining.enrollware.com/enroll?id=3883997,
9200,nan,,2020-06-26 13:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3883999,
9220,nan,,2020-06-26 17:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3884001,
9230,nan,,2020-06-27 09:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3884002,
7860,nan,,2020-06-27 10:00:00,809,https://coastalcprtraining.enrollware.com/enroll?id=3881397,
9240,nan,,2020-06-27 11:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3884003,
9270,nan,,2020-06-27 11:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3884071,
5520,nan,,2020-06-29 09:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3765402,
5880,nan,,2020-06-29 09:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3765438,
6120,nan,,2020-06-29 10:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3765462,
9250,nan,,2020-06-29 11:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3884010,
8340,nan,,2020-06-29 17:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3881461,
9260,nan,,2020-06-30 09:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3884070,
7480,nan,,2020-06-30 09:00:00,809,https://coastalcprtraining.enrollware.com/enroll?id=3881357,
6330,nan,,2020-06-30 10:00:00,809,https://coastalcprtraining.enrollware.com/enroll?id=3765483,
6130,nan,,2020-06-30 10:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3765463,
