source_file,missing_link_count,unique_target_count,families,priorities
docs/classes/10370086.html,1,1,external,false_positive
docs/classes/10370087.html,1,1,external,false_positive
docs/classes/10370089.html,1,1,external,false_positive
docs/classes/10370090.html,1,1,external,false_positive
docs/classes/10370091.html,1,1,external,false_positive
docs/classes/10370092.html,1,1,external,false_positive
docs/classes/10370094.html,1,1,external,false_positive
docs/classes/10402081.html,1,1,external,false_positive
docs/classes/10416696.html,1,1,external,false_positive
docs/classes/10424100.html,1,1,external,false_positive
docs/classes/10435072.html,1,1,external,false_positive
docs/classes/10446446.html,1,1,external,false_positive
docs/classes/10447293.html,1,1,external,false_positive
docs/classes/10448205.html,1,1,external,false_positive
docs/classes/10469266.html,1,1,external,false_positive
docs/classes/10469268.html,1,1,external,false_positive
docs/classes/10469270.html,1,1,external,false_positive
docs/classes/10469271.html,1,1,external,false_positive
docs/classes/10469276.html,1,1,external,false_positive
docs/classes/10469277.html,1,1,external,false_positive
docs/classes/10469279.html,1,1,external,false_positive
docs/classes/10469280.html,1,1,external,false_positive
docs/classes/10469281.html,1,1,external,false_positive
docs/classes/10469282.html,1,1,external,false_positive
docs/classes/10469285.html,1,1,external,false_positive
docs/classes/10469286.html,1,1,external,false_positive
docs/classes/10469287.html,1,1,external,false_positive
docs/classes/10469288.html,1,1,external,false_positive
docs/classes/10469289.html,1,1,external,false_positive
docs/classes/10469290.html,1,1,external,false_positive
docs/classes/10469296.html,1,1,external,false_positive
docs/classes/10469297.html,1,1,external,false_positive
docs/classes/10469298.html,1,1,external,false_positive
docs/classes/10469299.html,1,1,external,false_positive
docs/classes/10469300.html,1,1,external,false_positive
docs/classes/10469301.html,1,1,external,false_positive
docs/classes/10469306.html,1,1,external,false_positive
docs/classes/10469307.html,1,1,external,false_positive
docs/classes/10469308.html,1,1,external,false_positive
docs/classes/10469309.html,1,1,external,false_positive
docs/classes/10469311.html,1,1,external,false_positive
docs/classes/10469312.html,1,1,external,false_positive
docs/classes/10469327.html,1,1,external,false_positive
docs/classes/10469328.html,1,1,external,false_positive
docs/classes/10469330.html,1,1,external,false_positive
docs/classes/10469331.html,1,1,external,false_positive
docs/classes/10469333.html,1,1,external,false_positive
docs/classes/10469348.html,1,1,external,false_positive
docs/classes/10469349.html,1,1,external,false_positive
docs/classes/10469350.html,1,1,external,false_positive
docs/classes/10469351.html,1,1,external,false_positive
docs/classes/10469352.html,1,1,external,false_positive
docs/classes/10469354.html,1,1,external,false_positive
docs/classes/10469363.html,1,1,external,false_positive
docs/classes/10469364.html,1,1,external,false_positive
docs/classes/10469365.html,1,1,external,false_positive
docs/classes/10469366.html,1,1,external,false_positive
docs/classes/10469367.html,1,1,external,false_positive
docs/classes/10469369.html,1,1,external,false_positive
docs/classes/10469372.html,1,1,external,false_positive
docs/classes/10469373.html,1,1,external,false_positive
docs/classes/10469375.html,1,1,external,false_positive
docs/classes/10469376.html,1,1,external,false_positive
docs/classes/10469378.html,1,1,external,false_positive
docs/classes/10491294.html,1,1,external,false_positive
docs/classes/10491339.html,1,1,external,false_positive
docs/classes/10491340.html,1,1,external,false_positive
docs/classes/10491341.html,1,1,external,false_positive
docs/classes/10491342.html,1,1,external,false_positive
docs/classes/10491995.html,1,1,external,false_positive
docs/classes/10492470.html,1,1,external,false_positive
docs/classes/10492478.html,1,1,external,false_positive
docs/classes/10518006.html,1,1,external,false_positive
docs/classes/10551271.html,1,1,external,false_positive
docs/classes/10551279.html,1,1,external,false_positive
